comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Acceglio,004001,Cuneo,0,0.0
Acqui Terme,006001,Alessandria,80,4.08
Agliano Terme,005001,Asti,4,2.51
Aglie',001001,Torino,13,4.93
Agrate Conturbia,003001,Novara,3,1.94
Ailoche,096001,Biella,0,0.0
Airasca,001002,Torino,22,5.98
Aisone,004002,Cuneo,0,0.0
Ala Di Stura,001003,Torino,2,4.42
Alagna Valsesia,002002,Vercelli,2,2.82
Alba,004003,Cuneo,197,6.25
Albano Vercellese,002003,Vercelli,0,0.0
Albaretto Della Torre,004004,Cuneo,10,44.64
Albera Ligure,006002,Alessandria,0,0.0
Albiano D'Ivrea,001004,Torino,8,4.86
Albugnano,005002,Asti,1,1.98
Alessandria,006003,Alessandria,178,1.9
Alfiano Natta,006004,Alessandria,0,0.0
Alice Bel Colle,006005,Alessandria,11,14.75
Alice Castello,002004,Vercelli,30,11.63
Alluvioni Piovera,006192,Alessandria,2,1.15
Almese,001006,Torino,12,1.88
Alpette,001007,Torino,2,8.26
Alpignano,001008,Torino,68,4.15
Altavilla Monferrato,006007,Alessandria,1,2.33
Alto,004005,Cuneo,0,0.0
Alto Sermenza,002170,Vercelli,0,0.0
Alzano Scrivia,006008,Alessandria,0,0.0
Ameno,003002,Novara,2,2.1
Andezeno,001009,Torino,12,5.96
Andorno Micca,096002,Biella,8,2.52
Andrate,001010,Torino,1,2.0
Angrogna,001011,Torino,4,4.63
Antignano,005003,Asti,1,1.04
Antrona Schieranco,103001,Verbano-Cusio-Ossola,1,2.39
Anzola D'Ossola,103002,Verbano-Cusio-Ossola,0,0.0
Aramengo,005004,Asti,1,1.77
Arborio,002006,Vercelli,0,0.0
Argentera,004006,Cuneo,0,0.0
Arguello,004007,Cuneo,8,40.2
Arignano,001012,Torino,1,0.93
Arizzano,103003,Verbano-Cusio-Ossola,17,8.45
Armeno,003006,Novara,8,3.64
Arola,103004,Verbano-Cusio-Ossola,0,0.0
Arona,003008,Novara,62,4.44
Arquata Scrivia,006009,Alessandria,14,2.2
Asigliano Vercellese,002007,Vercelli,10,6.93
Asti,005005,Asti,228,3.0
Aurano,103005,Verbano-Cusio-Ossola,0,0.0
Avigliana,001013,Torino,89,7.08
Avolasca,006010,Alessandria,0,0.0
Azeglio,001014,Torino,8,6.36
Azzano D'Asti,005006,Asti,1,2.72
Baceno,103006,Verbano-Cusio-Ossola,5,5.57
Bagnasco,004008,Cuneo,4,3.92
Bagnolo Piemonte,004009,Cuneo,33,5.54
Bairo,001015,Torino,8,10.0
Balangero,001016,Torino,19,6.01
Baldichieri D'Asti,005007,Asti,0,0.0
Baldissero Canavese,001017,Torino,5,9.23
Baldissero D'Alba,004010,Cuneo,4,3.77
Baldissero Torinese,001018,Torino,12,3.26
Balme,001019,Torino,2,18.02
Balmuccia,002008,Vercelli,0,0.0
Balocco,002009,Vercelli,0,0.0
Balzola,006011,Alessandria,2,1.48
Banchette,001020,Torino,29,8.95
Bannio Anzino,103007,Verbano-Cusio-Ossola,2,4.18
Barbania,001021,Torino,8,4.99
Barbaresco,004011,Cuneo,9,14.29
Bardonecchia,001022,Torino,11,3.49
Barengo,003012,Novara,0,0.0
Barge,004012,Cuneo,61,8.01
Barolo,004013,Cuneo,3,4.35
Barone Canavese,001023,Torino,2,3.4
Basaluzzo,006012,Alessandria,1,0.48
Bassignana,006013,Alessandria,3,1.79
Bastia Mondovi',004014,Cuneo,1,1.5
Battifollo,004015,Cuneo,0,0.0
Baveno,103008,Verbano-Cusio-Ossola,11,2.24
Bee,103009,Verbano-Cusio-Ossola,3,3.97
Beinasco,001024,Torino,141,7.86
Beinette,004016,Cuneo,14,4.06
Belforte Monferrato,006014,Alessandria,5,9.86
Belgirate,103010,Verbano-Cusio-Ossola,1,1.99
Bellino,004017,Cuneo,0,0.0
Bellinzago Novarese,003016,Novara,22,2.3
Belvedere Langhe,004018,Cuneo,0,0.0
Belveglio,005008,Asti,1,3.08
Bene Vagienna,004019,Cuneo,17,4.64
Benevello,004020,Cuneo,2,4.2
Benna,096003,Biella,7,5.97
Bergamasco,006015,Alessandria,2,2.78
Bergolo,004021,Cuneo,0,0.0
Bernezzo,004022,Cuneo,12,2.89
Berzano Di San Pietro,005009,Asti,1,2.41
Berzano Di Tortona,006016,Alessandria,0,0.0
Beura-Cardezza,103011,Verbano-Cusio-Ossola,18,12.26
Biandrate,003018,Novara,1,0.77
Bianze',002011,Vercelli,3,1.57
Bibiana,001025,Torino,29,8.37
Biella,096004,Biella,127,2.89
Bioglio,096005,Biella,2,2.26
Bistagno,006017,Alessandria,12,6.69
Bobbio Pellice,001026,Torino,0,0.0
Boca,003019,Novara,7,5.84
Boccioleto,002014,Vercelli,0,0.0
Bognanco,103012,Verbano-Cusio-Ossola,5,26.6
Bogogno,003021,Novara,5,3.92
Bollengo,001027,Torino,17,7.84
Bolzano Novarese,003022,Novara,7,5.85
Bonvicino,004023,Cuneo,0,0.0
Borgaro Torinese,001028,Torino,126,10.58
Borghetto Di Borbera,006018,Alessandria,12,6.13
Borgiallo,001029,Torino,8,13.61
Borgo D'Ale,002015,Vercelli,15,6.41
Borgo San Dalmazzo,004025,Cuneo,63,5.06
Borgo San Martino,006020,Alessandria,1,0.72
Borgo Ticino,003025,Novara,18,3.48
Borgo Vercelli,002017,Vercelli,21,9.33
Borgofranco D'Ivrea,001030,Torino,19,5.17
Borgolavezzaro,003023,Novara,9,4.43
Borgomale,004024,Cuneo,0,0.0
Borgomanero,003024,Novara,78,3.6
Borgomasino,001031,Torino,1,1.27
Borgomezzavalle,103078,Verbano-Cusio-Ossola,0,0.0
Borgone Susa,001032,Torino,5,2.26
Borgoratto Alessandrino,006019,Alessandria,0,0.0
Borgosesia,002016,Vercelli,57,4.53
Borriana,096006,Biella,0,0.0
Bosco Marengo,006021,Alessandria,6,2.54
Bosconero,001033,Torino,26,8.3
Bosia,004026,Cuneo,0,0.0
Bosio,006022,Alessandria,2,1.7
Bossolasco,004027,Cuneo,1,1.57
Boves,004028,Cuneo,103,10.49
Bozzole,006023,Alessandria,0,0.0
Bra,004029,Cuneo,133,4.48
Brandizzo,001034,Torino,101,11.56
Briaglia,004030,Cuneo,1,3.26
Bricherasio,001035,Torino,36,7.8
Briga Alta,004031,Cuneo,0,0.0
Briga Novarese,003026,Novara,10,3.53
Brignano-Frascata,006024,Alessandria,0,0.0
Briona,003027,Novara,5,4.34
Brondello,004032,Cuneo,0,0.0
Brossasco,004033,Cuneo,1,0.95
Brosso,001036,Torino,5,12.69
Brovello-Carpugnino,103013,Verbano-Cusio-Ossola,4,5.63
Brozolo,001037,Torino,5,11.47
Bruino,001038,Torino,52,5.98
Bruno,005010,Asti,0,0.0
Brusasco,001039,Torino,5,3.27
Brusnengo,096007,Biella,3,1.49
Bruzolo,001040,Torino,2,1.31
Bubbio,005011,Asti,5,5.97
Buriasco,001041,Torino,13,9.62
Burolo,001042,Torino,4,3.5
Buronzo,002021,Vercelli,6,6.95
Busano,001043,Torino,8,4.89
Busca,004034,Cuneo,20,1.97
Bussoleno,001044,Torino,14,2.36
Buttigliera Alta,001045,Torino,36,5.62
Buttigliera D'Asti,005012,Asti,7,2.75
Cabella Ligure,006025,Alessandria,2,3.98
Cafasse,001046,Torino,25,7.32
Calamandrana,005013,Asti,9,5.2
Calasca-Castiglione,103014,Verbano-Cusio-Ossola,1,1.64
Callabiana,096008,Biella,0,0.0
Calliano,005014,Asti,0,0.0
Calosso,005015,Asti,1,0.8
Caltignaga,003030,Novara,15,5.96
Caluso,001047,Torino,22,2.92
Camagna Monferrato,006026,Alessandria,0,0.0
Camandona,096009,Biella,4,11.49
Cambiano,001048,Torino,10,1.67
Cambiasca,103015,Verbano-Cusio-Ossola,17,10.47
Camburzano,096010,Biella,2,1.73
Camerana,004035,Cuneo,0,0.0
Camerano Casasco,005016,Asti,3,6.79
Cameri,003032,Novara,24,2.21
Camino,006027,Alessandria,3,3.99
Campertogno,002025,Vercelli,0,0.0
Campiglia Cervo,096086,Biella,0,0.0
Campiglione Fenile,001049,Torino,10,7.46
Canale,004037,Cuneo,22,3.92
Candelo,096012,Biella,22,2.93
Candia Canavese,001050,Torino,8,6.49
Candiolo,001051,Torino,36,6.39
Canelli,005017,Asti,18,1.73
Canischio,001052,Torino,1,3.61
Cannero Riviera,103016,Verbano-Cusio-Ossola,0,0.0
Cannobio,103017,Verbano-Cusio-Ossola,15,2.93
Canosio,004038,Cuneo,1,12.2
Cantalupa,001053,Torino,23,8.78
Cantalupo Ligure,006028,Alessandria,2,4.2
Cantarana,005018,Asti,4,4.02
Cantoira,001054,Torino,5,8.68
Caprauna,004039,Cuneo,0,0.0
Caprezzo,103018,Verbano-Cusio-Ossola,0,0.0
Capriata D'Orba,006029,Alessandria,1,0.54
Caprie,001055,Torino,3,1.44
Capriglio,005019,Asti,0,0.0
Caprile,096013,Biella,0,0.0
Caraglio,004040,Cuneo,10,1.48
Caramagna Piemonte,004041,Cuneo,30,9.71
Caravino,001056,Torino,5,5.54
Carbonara Scrivia,006030,Alessandria,0,0.0
Carcoforo,002029,Vercelli,0,0.0
Carde',004042,Cuneo,2,1.74
Carema,001057,Torino,2,2.59
Carentino,006031,Alessandria,3,9.43
Caresana,002030,Vercelli,5,4.72
Caresanablot,002031,Vercelli,5,4.45
Carezzano,006032,Alessandria,0,0.0
Carignano,001058,Torino,41,4.42
Carisio,002032,Vercelli,0,0.0
Carmagnola,001059,Torino,182,6.28
Carpeneto,006033,Alessandria,5,5.27
Carpignano Sesia,003036,Novara,8,3.18
Carrega Ligure,006034,Alessandria,0,0.0
Carrosio,006035,Alessandria,0,0.0
Carru',004043,Cuneo,32,7.3
Cartignano,004044,Cuneo,0,0.0
Cartosio,006036,Alessandria,3,4.07
