Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
6001,Acqui Terme,Alessandria,268,13.67,19605,Dati aggiornati al 03.01.2021 ore 18:30
6002,Albera Ligure,Alessandria,10,33.33,300,Dati aggiornati al 03.01.2021 ore 18:30
6003,Alessandria,Alessandria,2149,22.95,93638,Dati aggiornati al 03.01.2021 ore 18:30
6004,Alfiano Natta,Alessandria,7,8.99,779,Dati aggiornati al 03.01.2021 ore 18:30
6005,Alice Bel Colle,Alessandria,7,9.38,746,Dati aggiornati al 03.01.2021 ore 18:30
6192,Alluvioni Piovera,Alessandria,29,16.69,1738,Dati aggiornati al 03.01.2021 ore 18:30
6007,Altavilla Monferrato,Alessandria,6,13.95,430,Dati aggiornati al 03.01.2021 ore 18:30
6008,Alzano Scrivia,Alessandria,2,5.71,350,Dati aggiornati al 03.01.2021 ore 18:30
6009,Arquata Scrivia,Alessandria,92,14.45,6367,Dati aggiornati al 03.01.2021 ore 18:30
6010,Avolasca,Alessandria,4,15.27,262,Dati aggiornati al 03.01.2021 ore 18:30
6011,Balzola,Alessandria,10,7.42,1348,Dati aggiornati al 03.01.2021 ore 18:30
6012,Basaluzzo,Alessandria,44,21.25,2071,Dati aggiornati al 03.01.2021 ore 18:30
6013,Bassignana,Alessandria,41,24.49,1674,Dati aggiornati al 03.01.2021 ore 18:30
6014,Belforte Monferrato,Alessandria,11,21.7,507,Dati aggiornati al 03.01.2021 ore 18:30
6015,Bergamasco,Alessandria,45,62.5,720,Dati aggiornati al 03.01.2021 ore 18:30
6016,Berzano Di Tortona,Alessandria,3,19.48,154,Dati aggiornati al 03.01.2021 ore 18:30
6017,Bistagno,Alessandria,30,16.72,1794,Dati aggiornati al 03.01.2021 ore 18:30
6018,Borghetto Di Borbera,Alessandria,19,9.71,1957,Dati aggiornati al 03.01.2021 ore 18:30
6020,Borgo San Martino,Alessandria,12,8.58,1399,Dati aggiornati al 03.01.2021 ore 18:30
6019,Borgoratto Alessandrino,Alessandria,9,16.36,550,Dati aggiornati al 03.01.2021 ore 18:30
6021,Bosco Marengo,Alessandria,46,19.49,2360,Dati aggiornati al 03.01.2021 ore 18:30
6022,Bosio,Alessandria,13,11.04,1178,Dati aggiornati al 03.01.2021 ore 18:30
6023,Bozzole,Alessandria,2,5.99,334,Dati aggiornati al 03.01.2021 ore 18:30
6024,Brignano-Frascata,Alessandria,3,6.86,437,Dati aggiornati al 03.01.2021 ore 18:30
6025,Cabella Ligure,Alessandria,6,11.93,503,Dati aggiornati al 03.01.2021 ore 18:30
6026,Camagna Monferrato,Alessandria,1,2.02,495,Dati aggiornati al 03.01.2021 ore 18:30
6027,Camino,Alessandria,9,11.98,751,Dati aggiornati al 03.01.2021 ore 18:30
6028,Cantalupo Ligure,Alessandria,2,4.2,476,Dati aggiornati al 03.01.2021 ore 18:30
6029,Capriata D'Orba,Alessandria,31,16.81,1844,Dati aggiornati al 03.01.2021 ore 18:30
6030,Carbonara Scrivia,Alessandria,30,26.62,1127,Dati aggiornati al 03.01.2021 ore 18:30
6031,Carentino,Alessandria,9,28.3,318,Dati aggiornati al 03.01.2021 ore 18:30
6032,Carezzano,Alessandria,10,22.73,440,Dati aggiornati al 03.01.2021 ore 18:30
6033,Carpeneto,Alessandria,28,29.54,948,Dati aggiornati al 03.01.2021 ore 18:30
6034,Carrega Ligure,Alessandria,0,0.0,,Dati aggiornati al 03.01.2021 ore 18:30
6035,Carrosio,Alessandria,3,6.0,500,Dati aggiornati al 03.01.2021 ore 18:30
6036,Cartosio,Alessandria,4,5.43,737,Dati aggiornati al 03.01.2021 ore 18:30
6037,Casal Cermelli,Alessandria,13,10.65,1221,Dati aggiornati al 03.01.2021 ore 18:30
6039,Casale Monferrato,Alessandria,471,13.97,33715,Dati aggiornati al 03.01.2021 ore 18:30
6038,Casaleggio Boiro,Alessandria,4,10.47,382,Dati aggiornati al 03.01.2021 ore 18:30
6040,Casalnoceto,Alessandria,25,25.56,978,Dati aggiornati al 03.01.2021 ore 18:30
6041,Casasco,Alessandria,2,15.15,132,Dati aggiornati al 03.01.2021 ore 18:30
6191,Cassano Spinola,Alessandria,43,23.84,1804,Dati aggiornati al 03.01.2021 ore 18:30
6043,Cassine,Alessandria,48,16.31,2943,Dati aggiornati al 03.01.2021 ore 18:30
6044,Cassinelle,Alessandria,7,7.95,881,Dati aggiornati al 03.01.2021 ore 18:30
6045,Castellania,Alessandria,1,11.24,89,Dati aggiornati al 03.01.2021 ore 18:30
6046,Castellar Guidobono,Alessandria,8,20.1,398,Dati aggiornati al 03.01.2021 ore 18:30
6047,Castellazzo Bormida,Alessandria,82,18.12,4525,Dati aggiornati al 03.01.2021 ore 18:30
6048,Castelletto D'Erro,Alessandria,1,6.71,149,Dati aggiornati al 03.01.2021 ore 18:30
6049,Castelletto D'Orba,Alessandria,41,20.92,1960,Dati aggiornati al 03.01.2021 ore 18:30
6050,Castelletto Merli,Alessandria,11,24.55,448,Dati aggiornati al 03.01.2021 ore 18:30
6051,Castelletto Monferrato,Alessandria,43,28.65,1501,Dati aggiornati al 03.01.2021 ore 18:30
6052,Castelnuovo Bormida,Alessandria,10,14.29,700,Dati aggiornati al 03.01.2021 ore 18:30
6053,Castelnuovo Scrivia,Alessandria,104,20.3,5123,Dati aggiornati al 03.01.2021 ore 18:30
6054,Castelspina,Alessandria,2,4.76,420,Dati aggiornati al 03.01.2021 ore 18:30
6055,Cavatore,Alessandria,2,7.43,269,Dati aggiornati al 03.01.2021 ore 18:30
6056,Cella Monte,Alessandria,6,12.02,499,Dati aggiornati al 03.01.2021 ore 18:30
6057,Cereseto,Alessandria,10,24.81,403,Dati aggiornati al 03.01.2021 ore 18:30
6058,Cerreto Grue,Alessandria,6,19.8,303,Dati aggiornati al 03.01.2021 ore 18:30
6059,Cerrina Monferrato,Alessandria,16,11.79,1357,Dati aggiornati al 03.01.2021 ore 18:30
6060,Coniolo,Alessandria,3,6.62,453,Dati aggiornati al 03.01.2021 ore 18:30
6061,Conzano,Alessandria,15,15.53,966,Dati aggiornati al 03.01.2021 ore 18:30
6062,Costa Vescovato,Alessandria,5,15.29,327,Dati aggiornati al 03.01.2021 ore 18:30
6063,Cremolino,Alessandria,23,21.54,1068,Dati aggiornati al 03.01.2021 ore 18:30
6065,Denice,Alessandria,5,28.9,173,Dati aggiornati al 03.01.2021 ore 18:30
6066,Dernice,Alessandria,0,0.0,,Dati aggiornati al 03.01.2021 ore 18:30
6067,Fabbrica Curone,Alessandria,2,3.28,610,Dati aggiornati al 03.01.2021 ore 18:30
6068,Felizzano,Alessandria,57,25.3,2253,Dati aggiornati al 03.01.2021 ore 18:30
6069,Fraconalto,Alessandria,4,12.62,317,Dati aggiornati al 03.01.2021 ore 18:30
6070,Francavilla Bisio,Alessandria,7,13.86,505,Dati aggiornati al 03.01.2021 ore 18:30
