Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
5001,Agliano Terme,Asti,9,5.65,1593,Dati aggiornati al 31.03.2022 ore 18:30
5002,Albugnano,Asti,11,21.78,505,Dati aggiornati al 31.03.2022 ore 18:30
5003,Antignano,Asti,7,7.28,962,Dati aggiornati al 31.03.2022 ore 18:30
5004,Aramengo,Asti,0,0.0,,Dati aggiornati al 31.03.2022 ore 18:30
5005,Asti,Asti,445,5.85,76068,Dati aggiornati al 31.03.2022 ore 18:30
5006,Azzano D'Asti,Asti,2,5.43,368,Dati aggiornati al 31.03.2022 ore 18:30
5007,Baldichieri D'Asti,Asti,8,7.05,1135,Dati aggiornati al 31.03.2022 ore 18:30
5008,Belveglio,Asti,1,3.08,325,Dati aggiornati al 31.03.2022 ore 18:30
5009,Berzano Di San Pietro,Asti,3,7.23,415,Dati aggiornati al 31.03.2022 ore 18:30
5010,Bruno,Asti,2,6.43,311,Dati aggiornati al 31.03.2022 ore 18:30
5011,Bubbio,Asti,2,2.39,837,Dati aggiornati al 31.03.2022 ore 18:30
5012,Buttigliera D'Asti,Asti,20,7.87,2541,Dati aggiornati al 31.03.2022 ore 18:30
5013,Calamandrana,Asti,8,4.62,1732,Dati aggiornati al 31.03.2022 ore 18:30
5014,Calliano,Asti,9,7.04,1278,Dati aggiornati al 31.03.2022 ore 18:30
5015,Calosso,Asti,11,8.84,1244,Dati aggiornati al 31.03.2022 ore 18:30
5016,Camerano Casasco,Asti,0,0.0,,Dati aggiornati al 31.03.2022 ore 18:30
5017,Canelli,Asti,65,6.24,10417,Dati aggiornati al 31.03.2022 ore 18:30
5018,Cantarana,Asti,1,1.01,990,Dati aggiornati al 31.03.2022 ore 18:30
5019,Capriglio,Asti,0,0.0,,Dati aggiornati al 31.03.2022 ore 18:30
5020,Casorzo,Asti,8,12.94,618,Dati aggiornati al 31.03.2022 ore 18:30
5021,Cassinasco,Asti,4,6.59,607,Dati aggiornati al 31.03.2022 ore 18:30
5022,Castagnole Delle Lanze,Asti,12,3.2,3750,Dati aggiornati al 31.03.2022 ore 18:30
5023,Castagnole Monferrato,Asti,8,6.73,1189,Dati aggiornati al 31.03.2022 ore 18:30
5024,Castel Boglione,Asti,4,6.57,609,Dati aggiornati al 31.03.2022 ore 18:30
5032,Castel Rocchero,Asti,11,28.13,391,Dati aggiornati al 31.03.2022 ore 18:30
5025,Castell'Alfero,Asti,23,8.61,2671,Dati aggiornati al 31.03.2022 ore 18:30
5026,Castellero,Asti,3,10.34,290,Dati aggiornati al 31.03.2022 ore 18:30
5027,Castelletto Molina,Asti,3,19.23,156,Dati aggiornati al 31.03.2022 ore 18:30
5028,Castello Di Annone,Asti,16,8.3,1928,Dati aggiornati al 31.03.2022 ore 18:30
5029,Castelnuovo Belbo,Asti,4,4.72,847,Dati aggiornati al 31.03.2022 ore 18:30
5030,Castelnuovo Calcea,Asti,2,2.73,733,Dati aggiornati al 31.03.2022 ore 18:30
5031,Castelnuovo Don Bosco,Asti,27,8.53,3165,Dati aggiornati al 31.03.2022 ore 18:30
5033,Cellarengo,Asti,3,4.27,703,Dati aggiornati al 31.03.2022 ore 18:30
5034,Celle Enomondo,Asti,1,2.1,476,Dati aggiornati al 31.03.2022 ore 18:30
5035,Cerreto D'Asti,Asti,3,13.7,219,Dati aggiornati al 31.03.2022 ore 18:30
