Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
96001,Ailoche,Biella,5,15.29,327,Dati aggiornati al 04.08.2022 ore 18:30
96002,Andorno Micca,Biella,27,8.5,3176,Dati aggiornati al 04.08.2022 ore 18:30
96003,Benna,Biella,14,11.95,1172,Dati aggiornati al 04.08.2022 ore 18:30
96004,Biella,Biella,254,5.77,44021,Dati aggiornati al 04.08.2022 ore 18:30
96005,Bioglio,Biella,2,2.26,885,Dati aggiornati al 04.08.2022 ore 18:30
96006,Borriana,Biella,6,6.86,875,Dati aggiornati al 04.08.2022 ore 18:30
96007,Brusnengo,Biella,11,5.45,2018,Dati aggiornati al 04.08.2022 ore 18:30
96008,Callabiana,Biella,2,15.04,133,Dati aggiornati al 04.08.2022 ore 18:30
96009,Camandona,Biella,4,11.49,348,Dati aggiornati al 04.08.2022 ore 18:30
96010,Camburzano,Biella,4,3.47,1153,Dati aggiornati al 04.08.2022 ore 18:30
96086,Campiglia Cervo,Biella,2,3.98,503,Dati aggiornati al 04.08.2022 ore 18:30
96012,Candelo,Biella,58,7.71,7523,Dati aggiornati al 04.08.2022 ore 18:30
96013,Caprile,Biella,2,10.53,190,Dati aggiornati al 04.08.2022 ore 18:30
96014,Casapinta,Biella,3,7.16,419,Dati aggiornati al 04.08.2022 ore 18:30
96015,Castelletto Cervo,Biella,6,7.32,820,Dati aggiornati al 04.08.2022 ore 18:30
96016,Cavaglia',Biella,21,5.79,3627,Dati aggiornati al 04.08.2022 ore 18:30
96018,Cerrione,Biella,9,3.12,2885,Dati aggiornati al 04.08.2022 ore 18:30
96019,Coggiola,Biella,16,8.88,1802,Dati aggiornati al 04.08.2022 ore 18:30
96020,Cossato,Biella,98,6.74,14540,Dati aggiornati al 04.08.2022 ore 18:30
96021,Crevacuore,Biella,8,5.34,1498,Dati aggiornati al 04.08.2022 ore 18:30
96023,Curino,Biella,3,6.24,481,Dati aggiornati al 04.08.2022 ore 18:30
96024,Donato,Biella,8,11.11,720,Dati aggiornati al 04.08.2022 ore 18:30
96025,Dorzano,Biella,3,5.65,531,Dati aggiornati al 04.08.2022 ore 18:30
96026,Gaglianico,Biella,23,6.15,3740,Dati aggiornati al 04.08.2022 ore 18:30
96027,Gifflenga,Biella,1,8.85,113,Dati aggiornati al 04.08.2022 ore 18:30
96028,Graglia,Biella,5,3.3,1515,Dati aggiornati al 04.08.2022 ore 18:30
96085,Lessona,Biella,15,5.51,2722,Dati aggiornati al 04.08.2022 ore 18:30
96030,Magnano,Biella,4,10.15,394,Dati aggiornati al 04.08.2022 ore 18:30
96031,Massazza,Biella,0,0.0,,Dati aggiornati al 04.08.2022 ore 18:30
96032,Masserano,Biella,7,3.34,2096,Dati aggiornati al 04.08.2022 ore 18:30
96033,Mezzana Mortigliengo,Biella,5,9.98,501,Dati aggiornati al 04.08.2022 ore 18:30
96034,Miagliano,Biella,5,8.76,571,Dati aggiornati al 04.08.2022 ore 18:30
96035,Mongrando,Biella,14,3.69,3794,Dati aggiornati al 04.08.2022 ore 18:30
96037,Mottalciata,Biella,11,8.12,1355,Dati aggiornati al 04.08.2022 ore 18:30
96038,Muzzano,Biella,3,4.99,601,Dati aggiornati al 04.08.2022 ore 18:30
96039,Netro,Biella,11,11.32,972,Dati aggiornati al 04.08.2022 ore 18:30
96040,Occhieppo Inferiore,Biella,29,7.43,3903,Dati aggiornati al 04.08.2022 ore 18:30
96041,Occhieppo Superiore,Biella,23,8.55,2690,Dati aggiornati al 04.08.2022 ore 18:30
96042,Pettinengo,Biella,13,8.55,1520,Dati aggiornati al 04.08.2022 ore 18:30
96043,Piatto,Biella,4,7.94,504,Dati aggiornati al 04.08.2022 ore 18:30
96044,Piedicavallo,Biella,0,0.0,,Dati aggiornati al 04.08.2022 ore 18:30
96046,Pollone,Biella,22,10.42,2111,Dati aggiornati al 04.08.2022 ore 18:30
96047,Ponderano,Biella,27,7.14,3782,Dati aggiornati al 04.08.2022 ore 18:30
96048,Portula,Biella,6,5.03,1193,Dati aggiornati al 04.08.2022 ore 18:30
96049,Pralungo,Biella,11,4.64,2371,Dati aggiornati al 04.08.2022 ore 18:30
96050,Pray,Biella,15,7.1,2113,Dati aggiornati al 04.08.2022 ore 18:30
96087,Quaregna Cerreto,Biella,19,9.31,2041,Dati aggiornati al 04.08.2022 ore 18:30
96053,Ronco Biellese,Biella,8,5.3,1509,Dati aggiornati al 04.08.2022 ore 18:30
96054,Roppolo,Biella,6,6.82,880,Dati aggiornati al 04.08.2022 ore 18:30
96055,Rosazza,Biella,0,0.0,,Dati aggiornati al 04.08.2022 ore 18:30
96056,Sagliano Micca,Biella,11,6.85,1606,Dati aggiornati al 04.08.2022 ore 18:30
96057,Sala Biellese,Biella,3,5.07,592,Dati aggiornati al 04.08.2022 ore 18:30
96058,Salussola,Biella,7,3.64,1923,Dati aggiornati al 04.08.2022 ore 18:30
96059,Sandigliano,Biella,17,6.37,2669,Dati aggiornati al 04.08.2022 ore 18:30
96063,Sordevolo,Biella,12,8.94,1342,Dati aggiornati al 04.08.2022 ore 18:30
96064,Sostegno,Biella,3,3.9,769,Dati aggiornati al 04.08.2022 ore 18:30
96065,Strona,Biella,13,12.15,1070,Dati aggiornati al 04.08.2022 ore 18:30
96066,Tavigliano,Biella,9,9.71,927,Dati aggiornati al 04.08.2022 ore 18:30
96067,Ternengo,Biella,1,3.57,280,Dati aggiornati al 04.08.2022 ore 18:30
96068,Tollegno,Biella,15,6.13,2447,Dati aggiornati al 04.08.2022 ore 18:30
96069,Torrazzo,Biella,0,0.0,,Dati aggiornati al 04.08.2022 ore 18:30
