Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4001,Acceglio,Cuneo,1,6.33,158,Dati aggiornati al 29.04.2022 ore 18:30
4002,Aisone,Cuneo,3,13.64,220,Dati aggiornati al 29.04.2022 ore 18:30
4003,Alba,Cuneo,244,7.74,31525,Dati aggiornati al 29.04.2022 ore 18:30
4004,Albaretto Della Torre,Cuneo,1,4.46,224,Dati aggiornati al 29.04.2022 ore 18:30
4005,Alto,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4006,Argentera,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4007,Arguello,Cuneo,1,5.03,199,Dati aggiornati al 29.04.2022 ore 18:30
4008,Bagnasco,Cuneo,17,16.67,1020,Dati aggiornati al 29.04.2022 ore 18:30
4009,Bagnolo Piemonte,Cuneo,35,5.88,5952,Dati aggiornati al 29.04.2022 ore 18:30
4010,Baldissero D'Alba,Cuneo,13,12.26,1060,Dati aggiornati al 29.04.2022 ore 18:30
4011,Barbaresco,Cuneo,4,6.35,630,Dati aggiornati al 29.04.2022 ore 18:30
4012,Barge,Cuneo,28,3.68,7609,Dati aggiornati al 29.04.2022 ore 18:30
4013,Barolo,Cuneo,9,13.04,690,Dati aggiornati al 29.04.2022 ore 18:30
4014,Bastia Mondovi',Cuneo,12,17.99,667,Dati aggiornati al 29.04.2022 ore 18:30
4015,Battifollo,Cuneo,6,28.3,212,Dati aggiornati al 29.04.2022 ore 18:30
4016,Beinette,Cuneo,27,7.83,3448,Dati aggiornati al 29.04.2022 ore 18:30
4017,Bellino,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4018,Belvedere Langhe,Cuneo,5,13.59,368,Dati aggiornati al 29.04.2022 ore 18:30
4019,Bene Vagienna,Cuneo,34,9.28,3664,Dati aggiornati al 29.04.2022 ore 18:30
4020,Benevello,Cuneo,10,21.01,476,Dati aggiornati al 29.04.2022 ore 18:30
4021,Bergolo,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4022,Bernezzo,Cuneo,26,6.26,4153,Dati aggiornati al 29.04.2022 ore 18:30
4023,Bonvicino,Cuneo,4,40.82,98,Dati aggiornati al 29.04.2022 ore 18:30
4025,Borgo San Dalmazzo,Cuneo,103,8.28,12440,Dati aggiornati al 29.04.2022 ore 18:30
4024,Borgomale,Cuneo,2,5.19,385,Dati aggiornati al 29.04.2022 ore 18:30
4026,Bosia,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4027,Bossolasco,Cuneo,9,14.11,638,Dati aggiornati al 29.04.2022 ore 18:30
4028,Boves,Cuneo,73,7.44,9812,Dati aggiornati al 29.04.2022 ore 18:30
4029,Bra,Cuneo,157,5.29,29679,Dati aggiornati al 29.04.2022 ore 18:30
4030,Briaglia,Cuneo,1,3.26,307,Dati aggiornati al 29.04.2022 ore 18:30
4031,Briga Alta,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4032,Brondello,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4033,Brossasco,Cuneo,5,4.77,1048,Dati aggiornati al 29.04.2022 ore 18:30
4034,Busca,Cuneo,63,6.19,10178,Dati aggiornati al 29.04.2022 ore 18:30
4035,Camerana,Cuneo,9,15.15,594,Dati aggiornati al 29.04.2022 ore 18:30
4037,Canale,Cuneo,40,7.13,5610,Dati aggiornati al 29.04.2022 ore 18:30
4038,Canosio,Cuneo,2,24.39,82,Dati aggiornati al 29.04.2022 ore 18:30
4039,Caprauna,Cuneo,1,10.31,97,Dati aggiornati al 29.04.2022 ore 18:30
4040,Caraglio,Cuneo,35,5.18,6757,Dati aggiornati al 29.04.2022 ore 18:30
4041,Caramagna Piemonte,Cuneo,33,10.68,3090,Dati aggiornati al 29.04.2022 ore 18:30
4042,Carde',Cuneo,7,6.1,1148,Dati aggiornati al 29.04.2022 ore 18:30
4043,Carru',Cuneo,99,22.57,4386,Dati aggiornati al 29.04.2022 ore 18:30
4044,Cartignano,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4045,Casalgrasso,Cuneo,11,7.65,1438,Dati aggiornati al 29.04.2022 ore 18:30
4046,Castagnito,Cuneo,8,3.65,2192,Dati aggiornati al 29.04.2022 ore 18:30
4047,Casteldelfino,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4049,Castelletto Stura,Cuneo,14,10.14,1381,Dati aggiornati al 29.04.2022 ore 18:30
4050,Castelletto Uzzone,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4051,Castellinaldo D'Alba,Cuneo,7,7.58,923,Dati aggiornati al 29.04.2022 ore 18:30
4052,Castellino Tanaro,Cuneo,2,6.73,297,Dati aggiornati al 29.04.2022 ore 18:30
4053,Castelmagno,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4054,Castelnuovo Di Ceva,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4055,Castiglione Falletto,Cuneo,4,5.72,699,Dati aggiornati al 29.04.2022 ore 18:30
4056,Castiglione Tinella,Cuneo,6,7.24,829,Dati aggiornati al 29.04.2022 ore 18:30
4057,Castino,Cuneo,2,4.12,485,Dati aggiornati al 29.04.2022 ore 18:30
4058,Cavallerleone,Cuneo,6,8.75,686,Dati aggiornati al 29.04.2022 ore 18:30
4059,Cavallermaggiore,Cuneo,33,6.08,5428,Dati aggiornati al 29.04.2022 ore 18:30
4060,Celle Di Macra,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4061,Centallo,Cuneo,30,4.27,7026,Dati aggiornati al 29.04.2022 ore 18:30
4062,Ceresole Alba,Cuneo,19,9.25,2054,Dati aggiornati al 29.04.2022 ore 18:30
4063,Cerretto Langhe,Cuneo,7,16.28,430,Dati aggiornati al 29.04.2022 ore 18:30
4064,Cervasca,Cuneo,34,6.62,5136,Dati aggiornati al 29.04.2022 ore 18:30
4065,Cervere,Cuneo,12,5.31,2260,Dati aggiornati al 29.04.2022 ore 18:30
4066,Ceva,Cuneo,46,8.07,5700,Dati aggiornati al 29.04.2022 ore 18:30
4067,Cherasco,Cuneo,102,10.98,9290,Dati aggiornati al 29.04.2022 ore 18:30
4068,Chiusa Di Pesio,Cuneo,27,7.4,3649,Dati aggiornati al 29.04.2022 ore 18:30
4069,Ciglie',Cuneo,4,21.62,185,Dati aggiornati al 29.04.2022 ore 18:30
4070,Cissone,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4071,Clavesana,Cuneo,26,32.3,805,Dati aggiornati al 29.04.2022 ore 18:30
4072,Corneliano D'Alba,Cuneo,10,4.66,2146,Dati aggiornati al 29.04.2022 ore 18:30
4073,Cortemilia,Cuneo,18,7.93,2270,Dati aggiornati al 29.04.2022 ore 18:30
4074,Cossano Belbo,Cuneo,3,3.15,952,Dati aggiornati al 29.04.2022 ore 18:30
4075,Costigliole Saluzzo,Cuneo,17,5.15,3301,Dati aggiornati al 29.04.2022 ore 18:30
4076,Cravanzana,Cuneo,4,10.96,365,Dati aggiornati al 29.04.2022 ore 18:30
4077,Crissolo,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4078,Cuneo,Cuneo,520,9.26,56156,Dati aggiornati al 29.04.2022 ore 18:30
4079,Demonte,Cuneo,13,6.64,1958,Dati aggiornati al 29.04.2022 ore 18:30
4080,Diano D'Alba,Cuneo,24,6.63,3620,Dati aggiornati al 29.04.2022 ore 18:30
4081,Dogliani,Cuneo,52,11.09,4689,Dati aggiornati al 29.04.2022 ore 18:30
4082,Dronero,Cuneo,34,4.84,7025,Dati aggiornati al 29.04.2022 ore 18:30
4083,Elva,Cuneo,0,0.0,,Dati aggiornati al 29.04.2022 ore 18:30
4084,Entracque,Cuneo,5,5.82,859,Dati aggiornati al 29.04.2022 ore 18:30
