Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
3001,Agrate Conturbia,Novara,8,5.16,1550,Dati aggiornati al 29.12.2022 ore 18:30
3002,Ameno,Novara,8,8.39,954,Dati aggiornati al 29.12.2022 ore 18:30
3006,Armeno,Novara,20,9.11,2195,Dati aggiornati al 29.12.2022 ore 18:30
3008,Arona,Novara,29,2.08,13942,Dati aggiornati al 29.12.2022 ore 18:30
3012,Barengo,Novara,1,1.27,787,Dati aggiornati al 29.12.2022 ore 18:30
3016,Bellinzago Novarese,Novara,37,3.86,9585,Dati aggiornati al 29.12.2022 ore 18:30
3018,Biandrate,Novara,5,3.84,1302,Dati aggiornati al 29.12.2022 ore 18:30
3019,Boca,Novara,3,2.5,1200,Dati aggiornati al 29.12.2022 ore 18:30
3021,Bogogno,Novara,1,0.78,1282,Dati aggiornati al 29.12.2022 ore 18:30
3022,Bolzano Novarese,Novara,2,1.67,1198,Dati aggiornati al 29.12.2022 ore 18:30
3025,Borgo Ticino,Novara,8,1.55,5161,Dati aggiornati al 29.12.2022 ore 18:30
3023,Borgolavezzaro,Novara,5,2.46,2033,Dati aggiornati al 29.12.2022 ore 18:30
3024,Borgomanero,Novara,59,2.72,21691,Dati aggiornati al 29.12.2022 ore 18:30
3026,Briga Novarese,Novara,4,1.41,2837,Dati aggiornati al 29.12.2022 ore 18:30
3027,Briona,Novara,4,3.47,1153,Dati aggiornati al 29.12.2022 ore 18:30
3030,Caltignaga,Novara,3,1.19,2521,Dati aggiornati al 29.12.2022 ore 18:30
3032,Cameri,Novara,19,1.75,10857,Dati aggiornati al 29.12.2022 ore 18:30
3036,Carpignano Sesia,Novara,2,0.79,2532,Dati aggiornati al 29.12.2022 ore 18:30
3037,Casalbeltrame,Novara,2,2.13,939,Dati aggiornati al 29.12.2022 ore 18:30
3039,Casaleggio Novara,Novara,0,0.0,,Dati aggiornati al 29.12.2022 ore 18:30
3040,Casalino,Novara,10,6.56,1524,Dati aggiornati al 29.12.2022 ore 18:30
3041,Casalvolone,Novara,4,4.63,864,Dati aggiornati al 29.12.2022 ore 18:30
3042,Castellazzo Novarese,Novara,0,0.0,,Dati aggiornati al 29.12.2022 ore 18:30
3043,Castelletto Sopra Ticino,Novara,40,4.03,9926,Dati aggiornati al 29.12.2022 ore 18:30
3044,Cavaglietto,Novara,1,2.61,383,Dati aggiornati al 29.12.2022 ore 18:30
3045,Cavaglio D'Agogna,Novara,4,3.41,1173,Dati aggiornati al 29.12.2022 ore 18:30
3047,Cavallirio,Novara,2,1.49,1342,Dati aggiornati al 29.12.2022 ore 18:30
3049,Cerano,Novara,16,2.37,6751,Dati aggiornati al 29.12.2022 ore 18:30
3051,Colazza,Novara,2,4.43,451,Dati aggiornati al 29.12.2022 ore 18:30
3052,Comignago,Novara,2,1.59,1258,Dati aggiornati al 29.12.2022 ore 18:30
3055,Cressa,Novara,4,2.49,1606,Dati aggiornati al 29.12.2022 ore 18:30
3058,Cureggio,Novara,3,1.14,2632,Dati aggiornati al 29.12.2022 ore 18:30
3060,Divignano,Novara,4,2.83,1413,Dati aggiornati al 29.12.2022 ore 18:30
3062,Dormelletto,Novara,8,3.09,2589,Dati aggiornati al 29.12.2022 ore 18:30
3065,Fara Novarese,Novara,7,3.44,2035,Dati aggiornati al 29.12.2022 ore 18:30
3066,Fontaneto D'Agogna,Novara,6,2.26,2655,Dati aggiornati al 29.12.2022 ore 18:30
3068,Galliate,Novara,43,2.74,15693,Dati aggiornati al 29.12.2022 ore 18:30
3069,Garbagna Novarese,Novara,1,0.7,1429,Dati aggiornati al 29.12.2022 ore 18:30
3070,Gargallo,Novara,4,2.26,1770,Dati aggiornati al 29.12.2022 ore 18:30
3166,Gattico-Veruno,Novara,17,3.23,5263,Dati aggiornati al 29.12.2022 ore 18:30
3073,Ghemme,Novara,11,3.14,3503,Dati aggiornati al 29.12.2022 ore 18:30
3076,Gozzano,Novara,14,2.52,5556,Dati aggiornati al 29.12.2022 ore 18:30
3077,Granozzo Con Monticello,Novara,4,2.9,1379,Dati aggiornati al 29.12.2022 ore 18:30
3079,Grignasco,Novara,33,7.37,4478,Dati aggiornati al 29.12.2022 ore 18:30
3082,Invorio,Novara,9,2.05,4390,Dati aggiornati al 29.12.2022 ore 18:30
3083,Landiona,Novara,3,5.33,563,Dati aggiornati al 29.12.2022 ore 18:30
3084,Lesa,Novara,13,5.88,2211,Dati aggiornati al 29.12.2022 ore 18:30
3088,Maggiora,Novara,2,1.21,1653,Dati aggiornati al 29.12.2022 ore 18:30
3090,Mandello Vitta,Novara,0,0.0,,Dati aggiornati al 29.12.2022 ore 18:30
3091,Marano Ticino,Novara,4,2.42,1653,Dati aggiornati al 29.12.2022 ore 18:30
3093,Massino Visconti,Novara,1,0.95,1053,Dati aggiornati al 29.12.2022 ore 18:30
3095,Meina,Novara,11,4.54,2423,Dati aggiornati al 29.12.2022 ore 18:30
3097,Mezzomerico,Novara,5,4.07,1229,Dati aggiornati al 29.12.2022 ore 18:30
3098,Miasino,Novara,8,10.08,794,Dati aggiornati al 29.12.2022 ore 18:30
3100,Momo,Novara,7,2.81,2491,Dati aggiornati al 29.12.2022 ore 18:30
3103,Nebbiuno,Novara,5,2.76,1812,Dati aggiornati al 29.12.2022 ore 18:30
3104,Nibbiola,Novara,2,2.42,826,Dati aggiornati al 29.12.2022 ore 18:30
3106,Novara,Novara,342,3.28,104268,Dati aggiornati al 29.12.2022 ore 18:30
3108,Oleggio,Novara,39,2.76,14130,Dati aggiornati al 29.12.2022 ore 18:30
3109,Oleggio Castello,Novara,6,2.76,2174,Dati aggiornati al 29.12.2022 ore 18:30
3112,Orta San Giulio,Novara,14,10.59,1322,Dati aggiornati al 29.12.2022 ore 18:30
3114,Paruzzaro,Novara,7,3.2,2188,Dati aggiornati al 29.12.2022 ore 18:30
3115,Pella,Novara,9,9.45,952,Dati aggiornati al 29.12.2022 ore 18:30
3116,Pettenasco,Novara,20,14.56,1374,Dati aggiornati al 29.12.2022 ore 18:30
3119,Pisano,Novara,5,6.13,816,Dati aggiornati al 29.12.2022 ore 18:30
3120,Pogno,Novara,4,2.83,1413,Dati aggiornati al 29.12.2022 ore 18:30
3121,Pombia,Novara,3,1.38,2174,Dati aggiornati al 29.12.2022 ore 18:30
3122,Prato Sesia,Novara,10,5.35,1869,Dati aggiornati al 29.12.2022 ore 18:30
3129,Recetto,Novara,4,4.15,964,Dati aggiornati al 29.12.2022 ore 18:30
3130,Romagnano Sesia,Novara,19,4.88,3893,Dati aggiornati al 29.12.2022 ore 18:30
3131,Romentino,Novara,15,2.67,5618,Dati aggiornati al 29.12.2022 ore 18:30
3133,San Maurizio D'Opaglio,Novara,17,5.56,3058,Dati aggiornati al 29.12.2022 ore 18:30
3134,San Nazzaro Sesia,Novara,1,1.36,735,Dati aggiornati al 29.12.2022 ore 18:30
3135,San Pietro Mosezzo,Novara,8,4.01,1995,Dati aggiornati al 29.12.2022 ore 18:30
3138,Sillavengo,Novara,2,3.56,562,Dati aggiornati al 29.12.2022 ore 18:30
