Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
4001,Acceglio,Cuneo,3,18.99,158,Dati aggiornati al 14.10.2022 ore 18:30
6001,Acqui Terme,Alessandria,183,9.33,19614,Dati aggiornati al 14.10.2022 ore 18:30
5001,Agliano Terme,Asti,16,10.05,1592,Dati aggiornati al 14.10.2022 ore 18:30
1001,Aglie',Torino,30,11.39,2634,Dati aggiornati al 14.10.2022 ore 18:30
3001,Agrate Conturbia,Novara,14,9.04,1549,Dati aggiornati al 14.10.2022 ore 18:30
96001,Ailoche,Biella,4,12.23,327,Dati aggiornati al 14.10.2022 ore 18:30
1002,Airasca,Torino,41,11.14,3680,Dati aggiornati al 14.10.2022 ore 18:30
4002,Aisone,Cuneo,8,36.36,220,Dati aggiornati al 14.10.2022 ore 18:30
1003,Ala Di Stura,Torino,2,4.42,452,Dati aggiornati al 14.10.2022 ore 18:30
2002,Alagna Valsesia,Vercelli,7,9.89,708,Dati aggiornati al 14.10.2022 ore 18:30
4003,Alba,Cuneo,289,9.17,31516,Dati aggiornati al 14.10.2022 ore 18:30
2003,Albano Vercellese,Vercelli,2,6.23,321,Dati aggiornati al 14.10.2022 ore 18:30
4004,Albaretto Della Torre,Cuneo,2,8.93,224,Dati aggiornati al 14.10.2022 ore 18:30
6002,Albera Ligure,Alessandria,7,23.33,300,Dati aggiornati al 14.10.2022 ore 18:30
1004,Albiano D'Ivrea,Torino,10,6.08,1645,Dati aggiornati al 14.10.2022 ore 18:30
5002,Albugnano,Asti,10,19.8,505,Dati aggiornati al 14.10.2022 ore 18:30
6003,Alessandria,Alessandria,738,7.88,93655,Dati aggiornati al 14.10.2022 ore 18:30
6004,Alfiano Natta,Alessandria,1,1.28,781,Dati aggiornati al 14.10.2022 ore 18:30
6005,Alice Bel Colle,Alessandria,3,4.02,746,Dati aggiornati al 14.10.2022 ore 18:30
2004,Alice Castello,Vercelli,27,10.47,2579,Dati aggiornati al 14.10.2022 ore 18:30
6192,Alluvioni Piovera,Alessandria,10,5.75,1739,Dati aggiornati al 14.10.2022 ore 18:30
1006,Almese,Torino,94,14.74,6377,Dati aggiornati al 14.10.2022 ore 18:30
1007,Alpette,Torino,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
1008,Alpignano,Torino,129,7.88,16371,Dati aggiornati al 14.10.2022 ore 18:30
6007,Altavilla Monferrato,Alessandria,2,4.65,430,Dati aggiornati al 14.10.2022 ore 18:30
4005,Alto,Cuneo,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
2170,Alto Sermenza,Vercelli,1,6.37,157,Dati aggiornati al 14.10.2022 ore 18:30
6008,Alzano Scrivia,Alessandria,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
3002,Ameno,Novara,10,10.49,953,Dati aggiornati al 14.10.2022 ore 18:30
1009,Andezeno,Torino,59,29.31,2013,Dati aggiornati al 14.10.2022 ore 18:30
96002,Andorno Micca,Biella,50,15.75,3175,Dati aggiornati al 14.10.2022 ore 18:30
1010,Andrate,Torino,3,6.01,499,Dati aggiornati al 14.10.2022 ore 18:30
1011,Angrogna,Torino,3,3.48,862,Dati aggiornati al 14.10.2022 ore 18:30
5003,Antignano,Asti,9,9.37,961,Dati aggiornati al 14.10.2022 ore 18:30
103001,Antrona Schieranco,Verbano-Cusio-Ossola,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
103002,Anzola D'Ossola,Verbano-Cusio-Ossola,8,19.66,407,Dati aggiornati al 14.10.2022 ore 18:30
5004,Aramengo,Asti,6,10.62,565,Dati aggiornati al 14.10.2022 ore 18:30
2006,Arborio,Vercelli,4,4.64,862,Dati aggiornati al 14.10.2022 ore 18:30
4006,Argentera,Cuneo,1,12.99,77,Dati aggiornati al 14.10.2022 ore 18:30
4007,Arguello,Cuneo,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
1012,Arignano,Torino,14,13.02,1075,Dati aggiornati al 14.10.2022 ore 18:30
103003,Arizzano,Verbano-Cusio-Ossola,45,22.37,2012,Dati aggiornati al 14.10.2022 ore 18:30
3006,Armeno,Novara,43,19.58,2196,Dati aggiornati al 14.10.2022 ore 18:30
103004,Arola,Verbano-Cusio-Ossola,0,0.0,,Dati aggiornati al 14.10.2022 ore 18:30
3008,Arona,Novara,148,10.61,13949,Dati aggiornati al 14.10.2022 ore 18:30
6009,Arquata Scrivia,Alessandria,81,12.72,6368,Dati aggiornati al 14.10.2022 ore 18:30
2007,Asigliano Vercellese,Vercelli,9,6.24,1442,Dati aggiornati al 14.10.2022 ore 18:30
5005,Asti,Asti,515,6.77,76071,Dati aggiornati al 14.10.2022 ore 18:30
103005,Aurano,Verbano-Cusio-Ossola,5,48.54,103,Dati aggiornati al 14.10.2022 ore 18:30
1013,Avigliana,Torino,165,13.13,12567,Dati aggiornati al 14.10.2022 ore 18:30
6010,Avolasca,Alessandria,2,7.63,262,Dati aggiornati al 14.10.2022 ore 18:30
1014,Azeglio,Torino,14,11.13,1258,Dati aggiornati al 14.10.2022 ore 18:30
5006,Azzano D'Asti,Asti,2,5.43,368,Dati aggiornati al 14.10.2022 ore 18:30
