Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
1001,Aglie',Torino,23,8.73,2635,Dati aggiornati al 17.05.2022 ore 18:30
1002,Airasca,Torino,20,5.43,3683,Dati aggiornati al 17.05.2022 ore 18:30
1003,Ala Di Stura,Torino,0,0.0,,Dati aggiornati al 17.05.2022 ore 18:30
1004,Albiano D'Ivrea,Torino,9,5.47,1645,Dati aggiornati al 17.05.2022 ore 18:30
1006,Almese,Torino,46,7.21,6380,Dati aggiornati al 17.05.2022 ore 18:30
1007,Alpette,Torino,1,4.13,242,Dati aggiornati al 17.05.2022 ore 18:30
1008,Alpignano,Torino,94,5.74,16376,Dati aggiornati al 17.05.2022 ore 18:30
1009,Andezeno,Torino,44,21.86,2013,Dati aggiornati al 17.05.2022 ore 18:30
1010,Andrate,Torino,2,4.01,499,Dati aggiornati al 17.05.2022 ore 18:30
1011,Angrogna,Torino,9,10.43,863,Dati aggiornati al 17.05.2022 ore 18:30
1012,Arignano,Torino,8,7.44,1075,Dati aggiornati al 17.05.2022 ore 18:30
1013,Avigliana,Torino,70,5.57,12567,Dati aggiornati al 17.05.2022 ore 18:30
1014,Azeglio,Torino,8,6.36,1258,Dati aggiornati al 17.05.2022 ore 18:30
1015,Bairo,Torino,8,10.0,800,Dati aggiornati al 17.05.2022 ore 18:30
1016,Balangero,Torino,16,5.06,3162,Dati aggiornati al 17.05.2022 ore 18:30
1017,Baldissero Canavese,Torino,3,5.54,542,Dati aggiornati al 17.05.2022 ore 18:30
1018,Baldissero Torinese,Torino,35,9.51,3680,Dati aggiornati al 17.05.2022 ore 18:30
1019,Balme,Torino,2,18.02,111,Dati aggiornati al 17.05.2022 ore 18:30
1020,Banchette,Torino,17,5.25,3238,Dati aggiornati al 17.05.2022 ore 18:30
1021,Barbania,Torino,2,1.25,1600,Dati aggiornati al 17.05.2022 ore 18:30
1022,Bardonecchia,Torino,15,4.76,3151,Dati aggiornati al 17.05.2022 ore 18:30
1023,Barone Canavese,Torino,5,8.49,589,Dati aggiornati al 17.05.2022 ore 18:30
1024,Beinasco,Torino,92,5.13,17934,Dati aggiornati al 17.05.2022 ore 18:30
1025,Bibiana,Torino,16,4.62,3463,Dati aggiornati al 17.05.2022 ore 18:30
1026,Bobbio Pellice,Torino,3,5.5,545,Dati aggiornati al 17.05.2022 ore 18:30
1027,Bollengo,Torino,20,9.23,2167,Dati aggiornati al 17.05.2022 ore 18:30
1028,Borgaro Torinese,Torino,68,5.71,11909,Dati aggiornati al 17.05.2022 ore 18:30
1029,Borgiallo,Torino,7,11.9,588,Dati aggiornati al 17.05.2022 ore 18:30
1030,Borgofranco D'Ivrea,Torino,25,6.81,3671,Dati aggiornati al 17.05.2022 ore 18:30
