Code,Comune,Provincia,Positivi,Positivi ogni 1000 abitanti,Popolazione Stimata,aggiornamento
103001,Antrona Schieranco,Verbano-Cusio-Ossola,7,16.71,419,Dati aggiornati al 04.02.2022 ore 18:30
103002,Anzola D'Ossola,Verbano-Cusio-Ossola,6,14.74,407,Dati aggiornati al 04.02.2022 ore 18:30
103003,Arizzano,Verbano-Cusio-Ossola,61,30.32,2012,Dati aggiornati al 04.02.2022 ore 18:30
103004,Arola,Verbano-Cusio-Ossola,2,8.23,243,Dati aggiornati al 04.02.2022 ore 18:30
103005,Aurano,Verbano-Cusio-Ossola,5,48.54,103,Dati aggiornati al 04.02.2022 ore 18:30
103006,Baceno,Verbano-Cusio-Ossola,8,8.92,897,Dati aggiornati al 04.02.2022 ore 18:30
103007,Bannio Anzino,Verbano-Cusio-Ossola,16,33.47,478,Dati aggiornati al 04.02.2022 ore 18:30
103008,Baveno,Verbano-Cusio-Ossola,71,14.43,4920,Dati aggiornati al 04.02.2022 ore 18:30
103009,Bee,Verbano-Cusio-Ossola,34,45.03,755,Dati aggiornati al 04.02.2022 ore 18:30
103010,Belgirate,Verbano-Cusio-Ossola,5,9.94,503,Dati aggiornati al 04.02.2022 ore 18:30
103011,Beura-Cardezza,Verbano-Cusio-Ossola,24,16.35,1468,Dati aggiornati al 04.02.2022 ore 18:30
103012,Bognanco,Verbano-Cusio-Ossola,3,15.96,188,Dati aggiornati al 04.02.2022 ore 18:30
103078,Borgomezzavalle,Verbano-Cusio-Ossola,2,6.35,315,Dati aggiornati al 04.02.2022 ore 18:30
103013,Brovello-Carpugnino,Verbano-Cusio-Ossola,8,11.25,711,Dati aggiornati al 04.02.2022 ore 18:30
103014,Calasca-Castiglione,Verbano-Cusio-Ossola,11,18.0,611,Dati aggiornati al 04.02.2022 ore 18:30
103015,Cambiasca,Verbano-Cusio-Ossola,59,36.35,1623,Dati aggiornati al 04.02.2022 ore 18:30
103016,Cannero Riviera,Verbano-Cusio-Ossola,24,26.37,910,Dati aggiornati al 04.02.2022 ore 18:30
103017,Cannobio,Verbano-Cusio-Ossola,102,19.92,5120,Dati aggiornati al 04.02.2022 ore 18:30
103018,Caprezzo,Verbano-Cusio-Ossola,1,5.92,169,Dati aggiornati al 04.02.2022 ore 18:30
103019,Casale Corte Cerro,Verbano-Cusio-Ossola,78,22.5,3467,Dati aggiornati al 04.02.2022 ore 18:30
103021,Ceppo Morelli,Verbano-Cusio-Ossola,4,13.47,297,Dati aggiornati al 04.02.2022 ore 18:30
103022,Cesara,Verbano-Cusio-Ossola,12,20.2,594,Dati aggiornati al 04.02.2022 ore 18:30
103023,Cossogno,Verbano-Cusio-Ossola,9,13.25,679,Dati aggiornati al 04.02.2022 ore 18:30
103024,Craveggia,Verbano-Cusio-Ossola,15,19.69,762,Dati aggiornati al 04.02.2022 ore 18:30
103025,Crevoladossola,Verbano-Cusio-Ossola,75,16.3,4601,Dati aggiornati al 04.02.2022 ore 18:30
103026,Crodo,Verbano-Cusio-Ossola,17,12.16,1398,Dati aggiornati al 04.02.2022 ore 18:30
103028,Domodossola,Verbano-Cusio-Ossola,263,14.49,18150,Dati aggiornati al 04.02.2022 ore 18:30
103029,Druogno,Verbano-Cusio-Ossola,15,14.1,1064,Dati aggiornati al 04.02.2022 ore 18:30
103031,Formazza,Verbano-Cusio-Ossola,4,9.05,442,Dati aggiornati al 04.02.2022 ore 18:30
103032,Germagno,Verbano-Cusio-Ossola,5,26.32,190,Dati aggiornati al 04.02.2022 ore 18:30
103033,Ghiffa,Verbano-Cusio-Ossola,47,19.97,2354,Dati aggiornati al 04.02.2022 ore 18:30
103034,Gignese,Verbano-Cusio-Ossola,15,14.31,1048,Dati aggiornati al 04.02.2022 ore 18:30
103035,Gravellona Toce,Verbano-Cusio-Ossola,147,18.83,7807,Dati aggiornati al 04.02.2022 ore 18:30
103036,Gurro,Verbano-Cusio-Ossola,1,5.03,199,Dati aggiornati al 04.02.2022 ore 18:30
103037,Intragna,Verbano-Cusio-Ossola,2,18.52,108,Dati aggiornati al 04.02.2022 ore 18:30
103038,Loreglia,Verbano-Cusio-Ossola,6,25.75,233,Dati aggiornati al 04.02.2022 ore 18:30
103039,Macugnaga,Verbano-Cusio-Ossola,5,9.23,542,Dati aggiornati al 04.02.2022 ore 18:30
103040,Madonna Del Sasso,Verbano-Cusio-Ossola,1,2.47,405,Dati aggiornati al 04.02.2022 ore 18:30
103041,Malesco,Verbano-Cusio-Ossola,17,12.33,1379,Dati aggiornati al 04.02.2022 ore 18:30
103042,Masera,Verbano-Cusio-Ossola,27,18.27,1478,Dati aggiornati al 04.02.2022 ore 18:30
103043,Massiola,Verbano-Cusio-Ossola,3,23.81,126,Dati aggiornati al 04.02.2022 ore 18:30
103044,Mergozzo,Verbano-Cusio-Ossola,37,17.09,2165,Dati aggiornati al 04.02.2022 ore 18:30
103045,Miazzina,Verbano-Cusio-Ossola,8,20.94,382,Dati aggiornati al 04.02.2022 ore 18:30
103046,Montecrestese,Verbano-Cusio-Ossola,12,9.43,1273,Dati aggiornati al 04.02.2022 ore 18:30
103047,Montescheno,Verbano-Cusio-Ossola,9,22.96,392,Dati aggiornati al 04.02.2022 ore 18:30
103048,Nonio,Verbano-Cusio-Ossola,12,13.94,861,Dati aggiornati al 04.02.2022 ore 18:30
103049,Oggebbio,Verbano-Cusio-Ossola,21,24.05,873,Dati aggiornati al 04.02.2022 ore 18:30
103050,Omegna,Verbano-Cusio-Ossola,255,16.79,15188,Dati aggiornati al 04.02.2022 ore 18:30
103051,Ornavasso,Verbano-Cusio-Ossola,78,22.71,3435,Dati aggiornati al 04.02.2022 ore 18:30
103052,Pallanzeno,Verbano-Cusio-Ossola,23,20.03,1148,Dati aggiornati al 04.02.2022 ore 18:30
103053,Piedimulera,Verbano-Cusio-Ossola,30,19.72,1521,Dati aggiornati al 04.02.2022 ore 18:30
103054,Pieve Vergonte,Verbano-Cusio-Ossola,26,10.33,2517,Dati aggiornati al 04.02.2022 ore 18:30
103055,Premeno,Verbano-Cusio-Ossola,23,31.51,730,Dati aggiornati al 04.02.2022 ore 18:30
103056,Premia,Verbano-Cusio-Ossola,10,18.08,553,Dati aggiornati al 04.02.2022 ore 18:30
103057,Premosello-Chiovenda,Verbano-Cusio-Ossola,38,19.58,1941,Dati aggiornati al 04.02.2022 ore 18:30
103058,Quarna Sopra,Verbano-Cusio-Ossola,3,11.9,252,Dati aggiornati al 04.02.2022 ore 18:30
103059,Quarna Sotto,Verbano-Cusio-Ossola,3,7.79,385,Dati aggiornati al 04.02.2022 ore 18:30
103060,Re,Verbano-Cusio-Ossola,5,6.79,736,Dati aggiornati al 04.02.2022 ore 18:30
103061,San Bernardino Verbano,Verbano-Cusio-Ossola,35,26.56,1318,Dati aggiornati al 04.02.2022 ore 18:30
103062,Santa Maria Maggiore,Verbano-Cusio-Ossola,13,10.06,1292,Dati aggiornati al 04.02.2022 ore 18:30
103064,Stresa,Verbano-Cusio-Ossola,70,14.37,4871,Dati aggiornati al 04.02.2022 ore 18:30
103065,Toceno,Verbano-Cusio-Ossola,15,20.58,729,Dati aggiornati al 04.02.2022 ore 18:30
103066,Trarego Viggiona,Verbano-Cusio-Ossola,5,11.99,417,Dati aggiornati al 04.02.2022 ore 18:30
103067,Trasquera,Verbano-Cusio-Ossola,1,5.71,175,Dati aggiornati al 04.02.2022 ore 18:30
103068,Trontano,Verbano-Cusio-Ossola,30,17.97,1669,Dati aggiornati al 04.02.2022 ore 18:30
103079,Valle Cannobina,Verbano-Cusio-Ossola,7,14.43,485,Dati aggiornati al 04.02.2022 ore 18:30
103069,Valstrona,Verbano-Cusio-Ossola,34,27.96,1216,Dati aggiornati al 04.02.2022 ore 18:30
103070,Vanzone Con San Carlo,Verbano-Cusio-Ossola,26,68.06,382,Dati aggiornati al 04.02.2022 ore 18:30
103071,Varzo,Verbano-Cusio-Ossola,34,16.86,2017,Dati aggiornati al 04.02.2022 ore 18:30
103072,Verbania,Verbano-Cusio-Ossola,737,24.16,30505,Dati aggiornati al 04.02.2022 ore 18:30
103074,Vignone,Verbano-Cusio-Ossola,39,32.64,1195,Dati aggiornati al 04.02.2022 ore 18:30
103075,Villadossola,Verbano-Cusio-Ossola,93,14.26,6522,Dati aggiornati al 04.02.2022 ore 18:30
103076,Villette,Verbano-Cusio-Ossola,15,53.96,278,Dati aggiornati al 04.02.2022 ore 18:30
103077,Vogogna,Verbano-Cusio-Ossola,34,19.36,1756,Dati aggiornati al 04.02.2022 ore 18:30
