comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Acceglio,004001,Cuneo,1,6.33
Acqui Terme,006001,Alessandria,129,6.58
Agliano Terme,005001,Asti,2,1.26
Aglie',001001,Torino,22,8.35
Agrate Conturbia,003001,Novara,6,3.87
Ailoche,096001,Biella,3,9.17
Airasca,001002,Torino,32,8.69
Aisone,004002,Cuneo,4,18.18
Ala Di Stura,001003,Torino,3,6.62
Alagna Valsesia,002002,Vercelli,4,5.65
Alba,004003,Cuneo,150,4.76
Albano Vercellese,002003,Vercelli,3,9.35
Albaretto Della Torre,004004,Cuneo,0,0.0
Albera Ligure,006002,Alessandria,0,0.0
Albiano D'Ivrea,001004,Torino,7,4.25
Albugnano,005002,Asti,6,11.88
Alessandria,006003,Alessandria,689,7.36
Alfiano Natta,006004,Alessandria,3,3.85
Alice Bel Colle,006005,Alessandria,0,0.0
Alice Castello,002004,Vercelli,12,4.65
Alluvioni Piovera,006192,Alessandria,9,5.18
Almese,001006,Torino,37,5.8
Alpette,001007,Torino,0,0.0
Alpignano,001008,Torino,110,6.72
Altavilla Monferrato,006007,Alessandria,1,2.33
Alto,004005,Cuneo,0,0.0
Alto Sermenza,002170,Vercelli,2,12.74
Alzano Scrivia,006008,Alessandria,2,5.71
Ameno,003002,Novara,8,8.39
Andezeno,001009,Torino,46,22.85
Andorno Micca,096002,Biella,12,3.78
Andrate,001010,Torino,3,6.01
Angrogna,001011,Torino,4,4.63
Antignano,005003,Asti,2,2.08
Antrona Schieranco,103001,Verbano-Cusio-Ossola,1,2.39
Anzola D'Ossola,103002,Verbano-Cusio-Ossola,3,7.37
Aramengo,005004,Asti,2,3.54
Arborio,002006,Vercelli,3,3.48
Argentera,004006,Cuneo,2,25.97
Arguello,004007,Cuneo,0,0.0
Arignano,001012,Torino,10,9.3
Arizzano,103003,Verbano-Cusio-Ossola,30,14.91
Armeno,003006,Novara,26,11.84
Arola,103004,Verbano-Cusio-Ossola,1,4.12
Arona,003008,Novara,42,3.01
Arquata Scrivia,006009,Alessandria,79,12.41
Asigliano Vercellese,002007,Vercelli,7,4.85
Asti,005005,Asti,290,3.81
Aurano,103005,Verbano-Cusio-Ossola,4,38.83
Avigliana,001013,Torino,84,6.69
Avolasca,006010,Alessandria,1,3.82
Azeglio,001014,Torino,6,4.77
Azzano D'Asti,005006,Asti,4,10.87
Baceno,103006,Verbano-Cusio-Ossola,8,8.92
Bagnasco,004008,Cuneo,11,10.78
Bagnolo Piemonte,004009,Cuneo,27,4.54
Bairo,001015,Torino,7,8.75
Balangero,001016,Torino,23,7.27
Baldichieri D'Asti,005007,Asti,4,3.52
Baldissero Canavese,001017,Torino,5,9.23
Baldissero D'Alba,004010,Cuneo,4,3.77
